biaoshi,ID,Name,Position,Context,goto,GM,BgImg,charactor1,action1,x1,charactor2,action2,x2,others
#,29,认真的学生,A,嗯......那个，她身体比较弱，应该是不舒服才请假吧，老师您放心吧，学习上我有帮助她的，肯定没问题......,30,,,墨常服/小羞,change,120,,,,
#,30, ,A,大课间。,31,,,墨常服/小羞,disappear,120,班主任,disappear,0,
#,31,学习委员,A,同学，刚刚我去办公室时，魏老师说下午英语课调整成小测，考前天lesson3的核心词，麻烦你写在黑板通知一下。,32,,,墨常服/惊讶,appearAt,120,,,,
#,32,英语课代表,C,收到啦，我这就写。,33,,,,,,女同学,appearAt,0,
#,33,学习委员,A,好，记得强调考试范围哦，lesson3核心词和相关知识应用，词形变换，被动语态，比较级等等。,34,,,墨常服/平静,change,120,,,,
#,34,英语课代表,C,OK的，学委大大。,35,,,,,,女同学,disappear,0,
#,35, ,,第三节课下。,36,,,,,,,,,
#,36,数学周老师,,真是不成体统！我教了20多年书还没见过这么皮的，这个张萌泉是第几次了......请家长，必须请家长！,37,暂停,,,,,,,,
#,37,学习委员,,老师真的很不好意思，您先消消气，我会和邱老师再确认情况的......,38,矛盾,,墨常服/惊讶,change,600,,,,
#,38,数学周老师,,还用确认什么？请两节课假不是第三节课不来的理由！这坏苗子以为我年纪大了些就注意不到？,39,,,,,,,,,
#,39,学习委员,,那个......她今天应该是身体不适......我这就去问问，您等情况清楚后再罚也不迟。,40,,,墨常服/小羞,change,600,,,,
#,40,数学周老师,,哎呀哎呀！算了，我可没功夫和这种丢失上进心的学生纠缠，告诉她下次再犯，我就自己打家长电话交流清楚，不麻烦邱老师！你也清楚的吧，出勤纪律是......,41,,,,,,,,,
#,41,学习委员,,您说的是......老师我完全明白......实在是让您费心了......快要上课了老师......嗯嗯......下次一定不再犯......,42,,,墨常服/小悲,change,600,,,,
#,42, ,A,午间休息。,43,暂停,,墨常服/小悲,disappear,600,,,,
#,43,略有烦恼的学委,A,（英语的额外小测是魏老师自己出题，从来没简单过，我得趁现在复习会）,44,,,,,,,,,
#,44,略有烦恼的学委,A,（12点50分再去吃饭吧，差不多还有40分钟，应该能看完所有词汇）,45,,,墨常服/闭眼,change,600,,,,
#,45,友好的学生,,林林，今天食堂的火锅是香菇软骨汤底，很好吃哒，一起去呗？,46,,,,,,,,,
#,46,略有烦恼的学委,A,不好意思，我现在想复习下午重点词的句例......,47,,,墨常服/小羞,change,600,,,,
#,47,友好的学生,,好吧，那你加油，我走咯。,48,,,,,,,,,
#,48,略有烦恼的学委,A,嗯，祝你下午超常发挥，再见！,49,,,墨常服/打趣,change,600,,,,
#,49,友好的学生,,谢谢啦，拜拜。,50,,,,,,,,,
#,50,略有烦恼的学委,A,深呼吸......集中......,51,,,墨常服/温柔,change,600,,,,
#,51,略有烦恼的学委,A,（为什么，明明说只请两节课的假，为什么现在都不来）,52,,,墨常服/深思,change,600,,,,
#,52,略有烦恼的学委,A,（不行，别再去想那些乱七八糟的了，我需要专注）,53,,,墨常服/闭眼,disappear,600,,,,
#,53, ,,同学们一个接一个离开教室，只剩我自己潜心复习，可正在这个时候——,54,,,,,,,,,
#,54,？？？,,墨墨，午好呀~,55,,,,,,,,,
#,55, ,A,一声问候突兀地响起，我带着不满看向窗外，发现那家伙正由远及近的跑进来。,56,,,墨常服/义愤,appearAt,120,,,,
#,56,略有烦恼的学委,Q,呵。,57,,,,,,泉常服/平静,appearAt,0,
#,57, ,,敏而好学的张萌泉小朋友总算来了，此刻是中午12点11分，一天在校时间已将近过半。,58,欢乐日常,,,,,,,,
#,58,张萌泉,Q,天呐，墨墨，不吃饭而内卷吗？有点意思，你知不知道整个教室只有你了耶。,59,,,,,,泉常服/猫笑,change,0,
#,59,略有烦恼的学委,A,......知道。,60,,,墨常服/卖萌,change,120,,,,
#,60,张萌泉,Q,哎呀~先给你带一个小惊喜，我拿到两张“大乐城”今天晚上的演出门票哦，他们还送给我一些周边，唔姆唔姆，老师你感兴趣吗？,61,,,,,,泉常服/坏笑,change,0,
#,61,略有烦恼的学委,A,其他事情暂时放一边，你给我先听着。,62,,,墨常服/盛怒,change,120,泉常服/吃醋,change,0,
#,62,略有烦恼的学委,,第一，你有数过自己开学这两个月和老师请假的次数吗？今天早上班主任老师问我这件事，我甚至说的是“你身体不好觉得难受”。,63,,,墨常服/闭眼,change,120,,,,
#,63,略有烦恼的学委,,是不是要我告诉她“你熬夜不知道做什么，总之起不来”呢？,64,,,,,,,,,
#,64,略有烦恼的学委,,第二，今早第三节课是周老师的，这位有多严厉不用我说，你的“失踪”让他暴跳如雷后，我浪费整整一个课间，好不容易才让他消气，没去找邱老师要你家长的电话。,65,,,,,,,,,
#,65,略有烦恼的学委,,第三，下午英语临时宣布要小测，考察lesson3重点单词和语法应用，刚刚我马上就能集中精神复习，结果你进来了。,66,,,,,,,,,
#,66,略有烦恼的学委,A,所以请你就此打住呢，想说什么等到12点50分在提吧，我现在心很乱——不得不说基本上是因为你。,67,,,墨常服/义愤,change,120,,,,
#,67,张萌泉,,我错了......,68,,,,,,,,,
#,68,林堇墨,,顺便，也建议你去临时抱抱佛脚呢，因为教lesson3那节英语课你根本没来。我，记，得，对，吗？,69,,,墨常服/闭眼,change,120,,,,
#,69,张萌泉,,林堇墨老师您放心，我这就去......,70,,,,,,泉常服/强颜欢笑,change,0,
#,70, ,,之后的40分钟我专注复习，同桌的家伙拿起画满涂鸦的教辅，煞有介事地翻看着，不知是看单词，还是看她那些所谓的“OC”角色立绘。,71,,,,,,,,,
#,71,林堇墨,A,走。,72,,,墨常服/深思,change,120,,,,
#,72,张萌泉,Q,遵旨。,73,,,,,,泉常服/猫笑,change,0,
#,73, ,,小步跑进餐厅，点一份香菇软骨火锅，美食囫囵进肚，我心里对泉的怨气消散一些。,74,,餐厅,,,,,,,
#,74,林堇墨,A,庆幸第三节课才小测吧，需要的话，去我桌子里拿蓝色的那本笔记看，特许你誊写。,75,,,墨常服/闭眼,change,120,,,,
#,75,张萌泉,Q,墨墨~~伟大无需多言呐，话说今天下午的英语小测......不公开成绩吧。,76,,,,,,泉常服/咧嘴猫笑,change,0,
#,76,林堇墨,A,难说，因为虽不是惯例的考试，魏老师却有很多次自己往家长群发成绩了。,77,,,墨常服/平静,change,120,,,,
#,77,张萌泉,Q,那，额完蛋嘞亲。,78,,,,,,泉常服/小悲,change,0,
#,78,林堇墨,A,事已至此，请节哀。,79,,,墨常服/闭眼,change,120,,,,
#,79,张萌泉,Q,啊啊，没指望的事不要提辣，转换下心情，我想想......你来猜一下我今天没来是为什么呗。,80,,,,,,泉常服/强颜欢笑,change,0,
#,80,林堇墨,A,好嘛，我猜。熬夜看动画玩游戏，早的时候懈怠11点才开始写作业，或者......因为没获得想要的限定角色，C站视频播放只有三位数这样的事失眠？,81,,,墨常服/打趣,change,120,,,,
#,81,林堇墨,,嘛，通常来说是第一种。,82,,,,,,,,,
#,82,张萌泉,Q,特别准！是第一个没错啦。唉，可惜昨天确实拼尽全力战胜了作业，却没交上去证明自己，哭哭。,83,,,,,,泉常服/咧嘴猫笑,change,0,
#,83,林堇墨,,别担心，我这就帮你补交，并且以后也一定得帮你，你每次都在作业全部送到老师办公室后才来，明白我的意思吗？,84,,,,,,,,,
#,84,张萌泉,Q,呜呃，为什么上高中以后你当上了学习委员啊。,85,,,,,,泉常服/小悲,change,0,
#,85,林堇墨,A,哼......低情商呢。,86,,,墨常服/小悲,change,120,,,,
#,86,林堇墨,A,姑且，算是为了让你这种家伙也能学习好吧。,87,,,墨常服/闭眼,change,120,,,,
#,87,张萌泉,Q,......让劳斯您失望了，我一定改正，咱们还是，额，换个话题罢。,88,,,,,,泉常服/强颜欢笑,change,0,
#,88,林堇墨,A,行啊，那我可要问问，具体是什么让你又熬夜到起不来了，坦白从宽，抗拒从严。,89,,,墨常服/平静,change,120,,,,
#,89,张萌泉,Q,啊哈哈，我说......其实昨天回家到今天中午一直是在看少女乐队啦，从经典名作一路看到今年的新番喔。,90,日常曲,,,,,泉常服/平静,change,0,
#,90,张萌泉,,要一辈子忘不掉这些角色和歌了啊......话说你明白看动画时，不追更的人相比周更党爽在哪里吗？,91,,,,,,,,,
#,91,林堇墨,A,不懂，请亲~爱的张通宵同学告诉我吧。,92,,,墨常服/深思,change,120,,,,
#,92,张萌泉,Q,唔唔，意思就是，一部动画，我们不追更的可以在看完第一季后，紧接着看二、三季，然后再追剧场版，OVA的说。,93,,,,,,泉常服/坏笑,change,0,
#,93,张萌泉,,所有设定伏笔细节通通都记得，一口气全部看完真的很过瘾的！你有过这种感觉吗？,94,,,,,,,,,
#,94,林堇墨,A,如果看小说也算，那姑且是有吧，今年整个年假我都在看《星河帝国》系列那十五本书，横跨万年的太空史诗......宏大无比。,95,,,墨常服/惊讶,change,120,,,,
#,95,张萌泉,Q,虽然没太听懂，不过你说的对！,96,,,,,,泉常服/咧嘴猫笑,change,0,
#,96,张萌泉,Q,讲真呐，我一晚上都在幻想自己拿着吉他在台上，准备向观众献上演出的场景。这么多乐队唱着不同的歌，却好像都在和我传达同一个内核......,97,,,,,,泉常服/强颜欢笑,change,0,
#,97,张萌泉,,“我也能在大家的注视下闪闪发光，获得幸福”“我会在此写下属于自己的故事”......真的会希望自己也能对现实说出这些大话啊......,98,,,,,,,,,
#,98,张萌泉,Q,好像也像那样子活着......追求无论人生几何，都永远昂首挺胸的那极致的烂漫......,99,,,,,,泉常服/平静,change,0,
#,99,  ,,话到此处，人也放飞自我起来，假装托着空气吉他的泉不管我是否听懂她的话，只是放任两手肆意挥舞，差点一把将火锅掀翻，我随即在两秒之内将失控的她稳稳制住。,100,,,,,,,,,
#,100,张萌泉,Q,啊唔......呀！,101,,,,,,泉常服/吃醋,change,0,
#,101,林堇墨,A,刚刚你的菜要是翻了，会泼我衣服上一大片的。,102,,,墨常服/闭眼,change,120,,,,
#,102,张萌泉,,哈哈，抱歉啦......太激动说是。,103,,,,,,泉常服/强颜欢笑,change,0,
#,103,张萌泉,,啊啊，羡慕，憧憬，甚至可以说是嫉妒。,104,,,,,,泉常服/大悲,change,0,
#,104,林堇墨,,嗯，我没有听清......,105,,,墨常服/平静,change,120,,,,
#,105,张萌泉,,我说的是舞台上星光闪闪的乐队主角们啊，你想嘛，她们在故事内收获喝彩，那故事外呢？一样也是现实中许多人的偶像吧......被依靠，被崇拜。,106,,,墨常服/深思,change,120,泉常服/小悲,change,0,
#,106,张萌泉,,你知道上个月鲽团在沪港市的那次演出票价被黄牛炒到多少吗......就是我和你说的那个会进行线下活动的少女乐队企划，其中的一个乐团。,107,,,,,,,,,
#,107,张萌泉,,普通票都能上千了啊！两个小时，四位数，可是呢？不还是整场爆满，粉丝追着乐手们合影，之后又买谷子，在各种群里展示吗？,108,,,,,,,,,
#,108,张萌泉,,呵呵......抱歉墨墨，我就是吃不到葡萄说葡萄酸罢了，对不起......人家能站在聚光灯下闪耀，也是各种条件加出来的嘛，天赋啦，努力啦，机会啦......,109,,,,,,泉常服/强颜欢笑,change,0,
#,109,张萌泉,,额，虽然很唐突，但我真的想让你回答这个问题。,110,,,,,,,,,
#,110,张萌泉,,你以自己的价值观，会怎么看啦......刚刚说的这种感动——希望自己也活得绚烂的愿望，对我......或者说对于一般人吧，会不会只是水中月镜中花，永远求而不得呢？,111,暂停,,墨常服/惊讶,change,120,泉常服/大悲,change,0,
#,111,林堇墨,Q,（！？......）,112,,,墨常服/盛怒,change,120,,,,
#,112, ,A,相处一年有余的经验告诉我，泉在大多数时候漫不经心，怎么开玩笑都行，可现在她的这个问题......我总要给个说法。,113,,,墨常服/大悲,change,120,,,,
#,113, ,,不过在此之前，我要先确认一件事：泉想要的是观点的碰撞，还是朋友的声援——两者无疑泾渭分明。,114,,,墨常服/小羞,change,120,,,,
#,114,张萌泉,Q,哈哈......怎么就突然僵住啦？唉，不过我也是，突然自我感动，接着自说自话然后又来逼问你，对不起......,115,,,墨常服/闭眼,change,120,泉常服/强颜欢笑,change,0,
#,115,林堇墨,A,不不，我没有觉得不适，也在认真思考刚刚的话题的。但现在为了认真回答你，我要先确认一件事。,116,,,墨常服/决心,change,120,,,,
#,116,张萌泉,Q,啊......啊？,117,悲怆,,,,,泉常服/吃醋,change,0,
#,117, ,,你在心里面，对我的回答有什么特定的，强烈的期望吗？,118,,,,,,,,,
#,118,张萌泉,Q,原来你是在考虑这个吗？好吧，我还是想知道你真正的观点，不顺着我说也行......,119,,,,,,泉常服/小悲,change,0,
#,119,林堇墨,,如果你希望如此的话。,120,,,,,,,,,
#,120, ,,她的这句话，令我不再避讳,121,,,,,,,,,
#,121,林堇墨,A,老实说......我对这些作品和圈子毫无了解，根本没有条件全心全意认同你......甚至，可以说很难去谈认不认同了，因为连“准确理解你的感触”这最先的一步也没达到。,122,,,墨常服/深思,change,120,,,,
#,122,林堇墨,,你应该很看重我的回答吧......但越是如此，我就越不能给你虚假的支持，这既不尊重你，也不尊重那些和你一样的热爱者。,123,,,,,,,,,
#,123,林堇墨,A,泉，刚刚说的那些，没有一句不是我的真实想法。,124,,,墨常服/平静,change,120,,,,
#,124,张萌泉,Q,好吧......,125,,,,,,泉常服/大悲,change,0,
#,125,张萌泉,Q,呜呜，超绝人机感......虽然我也大概猜到你要说什么啦。,126,,,,,,泉常服/小悲,change,0,
#,126,林堇墨,A,仁济感？,127,,,墨常服/惊讶,change,120,,,,
#,127,张萌泉,Q,啊......忽略那个词，总之我理解你的意思了，条件不足无法判断嘛，你这么想既合理，而且对谁都负责不是吗？,128,,,,,,泉常服/强颜欢笑,change,0,
#,128,林堇墨,A,是......希望你能接受。,129,,,墨常服/小羞,change,120,,,,
#,129,张萌泉,Q,哎呀没事的，谢谢你提醒我小测的事情，墨墨，咱们最好先吃吧，怕迟到，一下我会去复习的。,130,,,,,,泉常服/强颜欢笑,change,0,
#,130, ,Q,回教室及之后很长一段时间内，泉破天荒地在座位上用功以来，散发惊人的气势，没在像平时一样转头闲聊。,131,,教室,,,,泉常服/强颜欢笑,disappear,0,
#,131, ,A,时光匆匆流逝，泉没有选择看我的笔记本，可临近小测回座位时，我发现抽屉里被放入一个小挂件，是先前提到的周边吧，我有些，不，也许是很想去找她再说说话了。,132,平静曲,,墨常服/小羞,moveTo,600,,,,
#,132,英语课代表,A,大家安静，快点传卷子，有小组不够的找我。过，来，拿！别给我吵啦！,133,,,,,,,,,
#,133, ,A,上课铃堪堪压过同学们的交头接耳，我以平常心态应对明显超纲的题目，却不知为何，总由着思绪飘回中午与泉的闲聊中，一时难以回过神来。,134,,,墨常服/深思,appearAt,600,,,,
#,134, ,,对于摇滚，我并未有过邂逅，也并不怀着兴趣，仅仅是做过泛泛的了解而已。,135,,,墨常服/闭眼,change,600,,,,
#,135, ,,可偏偏在此刻，我不能停止对它的揣摩，是因为泉今天中午向我提到“那种感动”的原因吗？,136,,,,,,,,,
#,136, ,,在漫无目的的遐想中，许多词汇默默浮现，它们分门别类，似乎代表着我对摇滚的杂乱想法。,137,,,,,,,,,
#,137, ,,“蓝调”“金属”“朋克”“爵士”,138,,,,,,,,,
#,138, ,,“迷途”“交困”“艰涩”“彷徨”,139,,,,,,,,,
#,139, ,,“同调”“共振”“合奏”“齐鸣”,140,,,,,,,,,
#,140, ,,“沥血”“哀泄”“重燃”“春生”,141,,,,,,,,,
#,141, ,A,“我心易逝，我心如火”,142,,,墨常服/小悲,change,600,,,,
#,142, ,A,第三节课匆匆而逝，下课铃响，既宣布放学，也代表收卷的信号。,143,,,墨常服/小羞,disappear,600,,,,
#,143,英语课代表,,好！交卷交卷，走的人不要影响其他同学，拖延的最多等你们两分钟哦。,144,,,,,,,,,
#,144,怨气冲天的同学,,啊啊啊md服了魏苑，她当自己教雅思托福那！做到中间那沟槽翻译题的时候，我真想把这卷子撕个稀巴烂！,145,,,,,,,,,
#,145,如释重负的同学,,真不容易啊，挺过了英语鬼门关，国庆结束的第七天，好想他......,146,,,,,,,,,
#,146,呼朋引伴的同学,,那啥，我们才高一吧，做这种题目真的对吗......算了不管了，来转换下心情吧，兄弟们吃麦不？,147,,,,,,,,,
#,147, ,A,泉一脸凶相，希望那是高出平均难度许多的卷子导致的，她如此沉浸在负面情绪中，以至于在被我戳到胳膊时吓了一跳。,148,,,墨常服/平静,appearAt,120,泉常服/吃醋,appearAt,0,
#,148,林堇墨,A,泉，你现在是很不想和我说话吗？,149,,,墨常服/决心,change,120,,,,
#,149,张萌泉,,并没有这种事，但是你稍等。,150,,,,,,,,,
#,150,林堇墨,,（看来是要在等一会......）,151,,,,,,,,,
#,151,张萌泉,Q,我要狠狠攻击幽默小测5分钟才行口牙！,152,矛盾,,,,,泉常服/小悲,change,0,
#,152,林堇墨,A,您请。,153,,,墨常服/温柔,change,120,,,,
#,153, ,,A   FEW   MOMENTS   LATER,154,,,,,,,,,
#,154,张萌泉,Q,服了efosffseouo就离谱uowuhuf恶心死sufiwoif掉小珍珠suefhef！！！,155,,,,,,泉常服/吃醋,change,0,
#,155,张萌泉,Q,骂累啦。,156,,,,,,泉常服/强颜欢笑,change,0,
#,156,林堇墨,A,辛苦。,157,,,墨常服/闭眼,change,120,,,,
#,157,张萌泉,Q,所以，刚刚的英语你不做得犯恶心吗？,158,,,,,,泉常服/平静,change,0,
#,158,林堇墨,A,我优先做常规题，检查无误才继续的，整张卷子没有实际考察意义的难题占三成左右，我拿一个堪堪七十的分数，感觉能接受......虽然是没做完。（拆句子）,159,,,墨常服/决心,change,120,,,,
#,159,张萌泉,Q,认识到了我和SUPER好学生的差距呢......不过，你竟然没有做完吗？罕见捏。,160,暂停,,,,,泉常服/强颜欢笑,change,0,
#,160,林堇墨,A,只是状态不好，回归正题吧，泉，不知道你介不介意接着说之前的那个。,161,日常曲,,墨常服/平静,change,120,,,,
#,161,林堇墨,,就是......今天晚上的那个演出，你当时说的我没太听懂，“大乐城”什么的。,162,,,,,,,,,
#,162,张萌泉,Q,大乐城？大乐城就是一个LIVEHOUSE，搞摇滚演出的地方，然后啊，我有哪里两张今晚的演出票，19：00入场哦。,163,,,,,,泉常服/咧嘴猫笑,change,0,
#,163,林堇墨,A,L-I-V-E-H-O-U-S-E，生活的房子？说不通啊，或者说live取直播的意思吗？,164,,,墨常服/惊讶,change,120,,,,
#,164,张萌泉,Q,虽然已经见过很多回了，可是每次看你正儿八经的念一个词，我还是压制不住吐槽的心情捏......,165,,,,,,泉常服/猫笑,change,0,
#,165,张萌泉,,LIVE是“现场演奏”的意思，而LIVEHOUSE则是摇滚乐队专门演出的地方，它们顺便也经营一些酒水业务，不过我们肯定不能消费呢。,166,,,,,,,,,
#,166,林堇墨,A,原来如此，可是我的感觉除了文字概括，基本没有概念，不然你描述一下，LIVEHOUSE给人的氛围大概是什么样呢？,167,,,墨常服/深思,change,120,,,,
#,167,林堇墨,,举个例子，摇滚LIVE是像话剧那样，重视现实警示，常用讽喻；还是像歌剧，倾向于以夸张手法抒发情感？,168,,,,,,,,,
#,168,张萌泉,Q,额啊，硬要选的话，是后面那种吧......说夸张到也不算，感觉更像“自然的释放”“真情流露”？有点难以形容的说......,169,,,,,,泉常服/吃醋,change,0,
#,169,张萌泉,,话说社团招新的时候，你又被高中合唱团选上了吧，感觉你这个实际唱过的应该比我这个只听的更能想象欸。,170,,,,,,,,,
#,170,林堇墨,A,和唱不唱关系很小吧，我确实知之甚少......,171,,,墨常服/小悲,change,120,,,,
#,171,张萌泉,Q,唔，这么干巴巴的交流效率好低啊......我觉得只要亲眼看看，就都能明白了，“百闻不如一看”呢。,172,,,,,,泉常服/坏笑,change,0,
#,172,林堇墨,,百闻不如一见，吗......,173,,,,,,,,,
#,173, ,,为什么呢？按理说只是萍水相逢而已，可我的心中却追随着泛起,174,,,,,,,,,
#,174,林堇墨,A,（想去看演出，但感觉很不好意思让她再邀请我了）,175,,,墨常服/深思,change,120,,,,
#,175,张萌泉,Q,你说对吧......墨墨你在听咩？,176,,,,,,泉常服/咧嘴猫笑,change,0,
#,176,林堇墨,A,（自己开口吧，对曾经说过的话负责也是应该的）,177,,,墨常服/小羞,change,120,,,,
#,177,张萌泉,Q,怎么呆住了啊......你是在想中午的事情吗？,178,暂停,,,,,泉常服/平静,change,0,
#,178,林堇墨,A,......我肯定知道的，中午给你的那个答复毫无可体贴可言。,179,平静曲,,墨常服/决心,change,120,,,,
#,179,林堇墨,,但为了迎合你而敷衍作答，那对我来说更是不能接受，所以，你提问的时候，我一时间的确不知道如何是好......,180,,,,,,,,,
#,180,林堇墨,A,然后我想，也许实际接触摇滚LIVE后，能告诉你更有价值的答案。而且——如果误解请见谅——感觉你今天中午的反应，貌似是想邀请我去的吧。,181,,,墨常服/小羞,change,120,,,,
#,181,张萌泉,Q,哼哼，是呢，所以呢所以呢，你想和我一起去对吧？,182,,,,,,泉常服/猫笑,change,0,
#,182,林堇墨,A,对......如果你还愿意和我一起去的话，实际体验过后，我能给你一个理想的答复也说不定。,183,,,墨常服/小悲,change,120,,,,
#,183,张萌泉,Q,那肯定的呀，不如说一直就在等着你答应啦，不过确认一下，你自己有兴趣对吗，毕竟勉强可不好。,184,,,,,,泉常服/平静,change,0,
#,184,林堇墨,A,唔，实话是不清楚，只能说有了解的兴趣，摇滚本身是否吸引我还尚未可知。,185,,,墨常服/深思,change,120,,,,
#,185,张萌泉,Q,好吧，你不严谨就不是你了，那这边主观臆断有兴趣喽。,186,,,,,,泉常服/坏笑,change,0,
#,186,张萌泉,,......差点忘了，家里面不要紧吗？毕竟没到周末，晚回去会让你母亲生气吧，上次还一起被训来着......,187,,,,,,泉常服/吃醋,change,0,
#,187,林堇墨,A,问题不大，公司最近招标关键期，她非常忙，近两个星期我在睡觉前都没等到她回家过。,188,,,墨常服/温柔,change,120,,,,
#,188,张萌泉,Q,啊......那行，那我们去北食堂吃个饭后就走呗，到那里有一小时左右车程，晚出发要来不及的。,189,,,,,,泉常服/强颜欢笑,change,0,
#,189,林堇墨,A,好，去尝试一下吧，听摇滚LIVE。,190,暂停,,墨常服/打趣,change,120,,,,
#,190,张萌泉,,我说，不用每次都在LIVE前面加上“摇滚”两个字的，吾辈佩服——你把每句话都讲得像学术报告的气场......,191,搞笑曲,,,,,,,,
#,191,张萌泉,Q,等等等等，我才反应过来，你说毫无了解，难道真是一点也不知道吗？,192,,,,,,泉常服/平静,change,0,
#,192,林堇墨,A,......倒是在一些书里看过？,193,,,墨常服/平静,change,120,,,,
#,193, ,,那，那你稍微说说自己心里面认识的摇滚吧。,194,,,,,,,,,
#,194, ,,好，摇滚发源于“三大音乐”，于上世纪50年代开始流行，在猫王，披头士等巨匠的引导下渐渐壮大，与当时西方的民权思潮紧密结合，例如嬉皮士运动、种族平权......,195,,,,,,泉常服/强颜欢笑,change,0,
#,195, ,,打住打住，这是你上历史课提前预习下学期教材看来的罢......那，歌曲呢，你说一下，听什么ROCK STAR之类的......,196,,,,,,,,,
#,196,林堇墨,A,我想想，雏虎队和黎谷一的歌算吗？或者更新锐一点的，魔杰·周老师呢？,197,,,墨常服/深思,change,120,,,,
#,197,张萌泉,,“新锐”......这，这，你、你是完全把自己老妈歌单拿过来听的吗？,198,,,,,,泉常服/吃醋,change,0,
#,198,林堇墨,A,......,199,,,墨常服/小羞,change,120,,,,
#,199,张萌泉,Q,......,200,,,,,,,,0,
#,200,张萌泉,Q,不、不用回答了，我们走吧。,201,,,,,,泉常服/强颜欢笑,change,0,
#,201, ,A,夏末的太阳尽忠职守，在19点前勉强维持高挂天空的威严，我们坐公交穿过高楼林立的商业区，泉在下车后一路引领着我，顺带不忘进行摇滚知识科普。,202,,街景,墨常服/小羞,disappear,120,泉常服/强颜欢笑,disappear,0,
#,202, ,,泉是怎样在没看导航的情况下，以灵活的姿态七拐八拐，游走于复杂的闹事街区，准确寻路的呢？我正思考着，她原先密密麻麻的发言却慢慢减少。,203,,,,,,,,,
#,203,林堇墨,A,心事？,204,暂停,,墨常服/惊讶,appearAt,120,泉常服/小悲,appearAt,0,
#,204,张萌泉,,不算，一不小心又陷入午饭时候的那个疑问而已......,205,,,,,,,,,
#,205,林堇墨,A,考虑继续聊吗？,206,,,墨常服/决心,change,120,,,,
